algorithm,name,size,un,new,newarray,anewarray,multianewarray
BFS,SUDOKU_PUZZLE_9x9_101,9,81,35,0,2,1
BFS,SUDOKU_PUZZLE_9x9_102,9,81,35,0,2,1
BFS,SUDOKU_PUZZLE_9x9_103,9,81,35,0,2,1
BFS,SUDOKU_PUZZLE_9x9_104,9,81,35,0,2,1
BFS,SUDOKU_PUZZLE_9x9_105,9,81,35,0,2,1
BFS,SUDOKU_PUZZLE_16x16_01,16,256,42,0,2,1
BFS,SUDOKU_PUZZLE_16x16_02,16,256,42,0,2,1
BFS,SUDOKU_PUZZLE_16x16_03,16,256,42,0,2,1
BFS,SUDOKU_PUZZLE_16x16_04,16,256,42,0,2,1
BFS,SUDOKU_PUZZLE_16x16_05,25,625,51,0,2,1
BFS,SUDOKU_PUZZLE_16x16_06,25,625,51,0,2,1
DLX,SUDOKU_PUZZLE_9x9_101,9,81,1035,60,3,2
DLX,SUDOKU_PUZZLE_9x9_102,9,81,1035,60,3,2
DLX,SUDOKU_PUZZLE_9x9_103,9,81,1059,60,3,2
DLX,SUDOKU_PUZZLE_9x9_104,9,81,1023,60,3,2
DLX,SUDOKU_PUZZLE_9x9_105,9,81,1051,60,3,2
DLX,SUDOKU_PUZZLE_16x16_01,16,256,3290,203,3,2
DLX,SUDOKU_PUZZLE_16x16_02,16,256,3314,203,3,2
DLX,SUDOKU_PUZZLE_16x16_03,16,256,3290,203,3,2
DLX,SUDOKU_PUZZLE_16x16_04,16,256,3274,203,3,2
DLX,SUDOKU_PUZZLE_16x16_05,25,625,7767,511,3,2
DLX,SUDOKU_PUZZLE_16x16_06,25,625,7779,512,3,2
CP,SUDOKU_PUZZLE_9x9_101,9,81,153,0,2,1
CP,SUDOKU_PUZZLE_9x9_102,9,81,153,0,2,1
CP,SUDOKU_PUZZLE_9x9_103,9,81,205,0,2,1
CP,SUDOKU_PUZZLE_9x9_104,9,81,150,0,2,1
CP,SUDOKU_PUZZLE_9x9_105,9,81,168,0,2,1
CP,SUDOKU_PUZZLE_16x16_01,16,256,682,0,2,1
CP,SUDOKU_PUZZLE_16x16_02,16,256,1375,0,2,1
CP,SUDOKU_PUZZLE_16x16_03,16,256,545,0,2,1
CP,SUDOKU_PUZZLE_16x16_04,16,256,563,0,2,1
