algorithm,name,size,un,field_load,field_store,regular_load,regular_store
BFS,SUDOKU_PUZZLE_9x9_101,9,81,2726,20,40019093,39989031
BFS,SUDOKU_PUZZLE_9x9_102,9,81,2726,20,40019093,39989031
BFS,SUDOKU_PUZZLE_9x9_103,9,81,3360,20,57965376,57925165
BFS,SUDOKU_PUZZLE_9x9_104,9,81,2409,20,28545957,28521718
BFS,SUDOKU_PUZZLE_9x9_105,9,81,2601,20,36488656,36460632
BFS,SUDOKU_PUZZLE_16x16_01,16,256,15174,20,155398060,155250943
BFS,SUDOKU_PUZZLE_16x16_02,16,256,28611,20,368731913,368425893
BFS,SUDOKU_PUZZLE_16x16_03,16,256,19905,20,242198375,241991069
BFS,SUDOKU_PUZZLE_16x16_04,16,256,18365,20,195714631,195533689
BFS,SUDOKU_PUZZLE_16x16_05,25,625,14516,20,176570996,176421065
BFS,SUDOKU_PUZZLE_16x16_06,25,625,74021,20,553148184,552492089
DLX,SUDOKU_PUZZLE_9x9_101,9,81,319975,10517,81576751,78482815
DLX,SUDOKU_PUZZLE_9x9_102,9,81,319975,10517,81576751,78482815
DLX,SUDOKU_PUZZLE_9x9_103,9,81,320525,10799,81577868,78483045
DLX,SUDOKU_PUZZLE_9x9_104,9,81,319703,10376,81576195,78482701
DLX,SUDOKU_PUZZLE_9x9_105,9,81,320347,10705,81577502,78482972
DLX,SUDOKU_PUZZLE_16x16_01,16,256,4912689,34306,306451959,251872431
DLX,SUDOKU_PUZZLE_16x16_02,16,256,4913293,34588,306453015,251872573
DLX,SUDOKU_PUZZLE_16x16_03,16,256,4912675,34306,306451805,251872284
DLX,SUDOKU_PUZZLE_16x16_04,16,256,4912305,34118,306451074,251872146
DLX,SUDOKU_PUZZLE_16x16_05,25,625,39147990,59070,634507061,128644168
DLX,SUDOKU_PUZZLE_16x16_06,25,625,43129131,81411,1190010266,680762395
CP,SUDOKU_PUZZLE_9x9_101,9,81,3172,20,34718344,34696399
CP,SUDOKU_PUZZLE_9x9_102,9,81,3172,20,34718344,34696399
CP,SUDOKU_PUZZLE_9x9_103,9,81,4233,20,50016461,49986210
CP,SUDOKU_PUZZLE_9x9_104,9,81,3245,20,33836298,33814330
CP,SUDOKU_PUZZLE_9x9_105,9,81,3394,20,39131028,39106938
CP,SUDOKU_PUZZLE_16x16_01,16,256,22156,20,188317769,188182720
CP,SUDOKU_PUZZLE_16x16_02,16,256,42438,20,392215819,391948621
CP,SUDOKU_PUZZLE_16x16_03,16,256,17614,20,148007139,147900055
CP,SUDOKU_PUZZLE_16x16_04,16,256,17784,20,153301952,153192657
CP,SUDOKU_PUZZLE_16x16_05,25,625,163047,20,1280002979,1279048348
CP,SUDOKU_PUZZLE_16x16_06,25,625,84729,20,582367612,581895028
BFS,SUDOKU_PUZZLE_9x9_101,9,41,1563,20,22657680,22640909
BFS,SUDOKU_PUZZLE_9x9_102,9,41,1494,20,20892413,20876699
BFS,SUDOKU_PUZZLE_9x9_103,9,41,1679,20,26482151,26463360
BFS,SUDOKU_PUZZLE_9x9_104,9,41,1324,20,16479281,16466181
BFS,SUDOKU_PUZZLE_9x9_105,9,41,1320,20,17655737,17642310
BFS,SUDOKU_PUZZLE_16x16_01,16,128,7571,20,95051999,94973563
BFS,SUDOKU_PUZZLE_16x16_02,16,128,8649,20,99471434,99384176
BFS,SUDOKU_PUZZLE_16x16_03,16,128,7250,20,82402538,82330167
BFS,SUDOKU_PUZZLE_16x16_04,16,128,6828,20,70928600,70862844
BFS,SUDOKU_PUZZLE_16x16_05,25,312,11498,20,132430558,132315961
BFS,SUDOKU_PUZZLE_16x16_06,25,312,33323,20,306111737,305796567
DLX,SUDOKU_PUZZLE_9x9_101,9,41,319703,10376,78829529,75593711
DLX,SUDOKU_PUZZLE_9x9_102,9,41,319703,10376,78829529,75593711
DLX,SUDOKU_PUZZLE_9x9_103,9,41,319795,10423,78829714,75593748
DLX,SUDOKU_PUZZLE_9x9_104,9,41,319433,10235,78828974,75593597
DLX,SUDOKU_PUZZLE_9x9_105,9,41,319523,10282,78829160,75593636
DLX,SUDOKU_PUZZLE_16x16_01,16,128,4910449,33178,302170232,245769390
DLX,SUDOKU_PUZZLE_16x16_02,16,128,4910453,33178,302170180,245769336
DLX,SUDOKU_PUZZLE_16x16_03,16,128,4909897,32896,302169056,245769102
DLX,SUDOKU_PUZZLE_16x16_04,16,128,4909897,32896,302169057,245769103
DLX,SUDOKU_PUZZLE_16x16_05,25,312,39146128,58026,640315659,119414620
DLX,SUDOKU_PUZZLE_16x16_06,25,312,43125727,79672,1195816502,671532438
CP,SUDOKU_PUZZLE_9x9_101,9,41,1934,20,17360895,17348375
CP,SUDOKU_PUZZLE_9x9_102,9,41,2157,20,20891149,20876782
CP,SUDOKU_PUZZLE_9x9_103,9,41,2313,20,23832926,23817131
CP,SUDOKU_PUZZLE_9x9_104,9,41,1826,20,16478167,16466269
CP,SUDOKU_PUZZLE_9x9_105,9,41,1842,20,17654705,17642399
CP,SUDOKU_PUZZLE_16x16_01,16,128,11327,20,95043633,94973844
CP,SUDOKU_PUZZLE_16x16_02,16,128,21317,20,198316462,198180084
CP,SUDOKU_PUZZLE_16x16_03,16,128,10140,20,82392267,82330428
CP,SUDOKU_PUZZLE_16x16_04,16,128,9287,20,70918550,70863118
CP,SUDOKU_PUZZLE_16x16_05,25,312,89991,20,720918320,720384262
CP,SUDOKU_PUZZLE_16x16_06,25,312,40953,20,269270562,269042961
BFS,SUDOKU_PUZZLE_9x9_101,9,20,1046,20,11183039,11173532
BFS,SUDOKU_PUZZLE_9x9_102,9,20,1064,20,13242025,13231761
BFS,SUDOKU_PUZZLE_9x9_103,9,20,1679,20,26482151,26463360
BFS,SUDOKU_PUZZLE_9x9_104,9,20,1037,20,12653588,12643695
BFS,SUDOKU_PUZZLE_9x9_105,9,20,989,20,11182624,11173528
BFS,SUDOKU_PUZZLE_16x16_01,16,64,4686,20,61207869,61159527
BFS,SUDOKU_PUZZLE_16x16_02,16,64,4773,20,55031958,54984855
BFS,SUDOKU_PUZZLE_16x16_03,16,64,4246,20,47380931,47339965
BFS,SUDOKU_PUZZLE_16x16_04,16,64,4051,20,40026458,39989138
BFS,SUDOKU_PUZZLE_16x16_05,25,156,6725,20,58865437,58807530
BFS,SUDOKU_PUZZLE_16x16_06,25,156,19154,20,191602219,191417063
DLX,SUDOKU_PUZZLE_9x9_101,9,20,319433,10235,77730542,74438002
DLX,SUDOKU_PUZZLE_9x9_102,9,20,319433,10235,77730542,74438002
DLX,SUDOKU_PUZZLE_9x9_103,9,20,319795,10423,78829714,75593748
DLX,SUDOKU_PUZZLE_9x9_104,9,20,319433,10235,77730542,74438002
DLX,SUDOKU_PUZZLE_9x9_105,9,20,319433,10235,77730542,74438002
DLX,SUDOKU_PUZZLE_16x16_01,16,64,4909445,32661,299752986,242320002
DLX,SUDOKU_PUZZLE_16x16_02,16,64,4909349,32614,299752735,242319901
DLX,SUDOKU_PUZZLE_16x16_03,16,64,4908987,32426,299751995,242319750
DLX,SUDOKU_PUZZLE_16x16_04,16,64,4909257,32567,299752551,242319865
DLX,SUDOKU_PUZZLE_16x16_05,25,156,39145266,57533,643581203,114246180
DLX,SUDOKU_PUZZLE_16x16_06,25,156,43124711,79155,1199082112,666364039
CP,SUDOKU_PUZZLE_9x9_101,9,20,1386,20,11182457,11173643
CP,SUDOKU_PUZZLE_9x9_102,9,20,1484,20,13241647,13231874
CP,SUDOKU_PUZZLE_9x9_103,9,20,2313,20,23832926,23817131
CP,SUDOKU_PUZZLE_9x9_104,9,20,1402,20,12653117,12643807
CP,SUDOKU_PUZZLE_9x9_105,9,20,1358,20,11182358,11173642
CP,SUDOKU_PUZZLE_16x16_01,16,64,7287,20,61205714,61159922
CP,SUDOKU_PUZZLE_16x16_02,16,64,6606,20,50320843,50280697
CP,SUDOKU_PUZZLE_16x16_03,16,64,6175,20,47378122,47340352
CP,SUDOKU_PUZZLE_16x16_04,16,64,5785,20,40023736,39989531
CP,SUDOKU_PUZZLE_16x16_05,25,156,29351,20,228052272,227877592
CP,SUDOKU_PUZZLE_16x16_06,25,156,23382,20,147443531,147312962
