name,size,un,algorithm,time
SUDOKU_PUZZLE_9x9_101,9,81,BFS,2431
SUDOKU_PUZZLE_9x9_102,9,81,BFS,2234
SUDOKU_PUZZLE_9x9_103,9,81,BFS,3499
SUDOKU_PUZZLE_9x9_104,9,81,BFS,1718
SUDOKU_PUZZLE_9x9_105,9,81,BFS,2216
SUDOKU_PUZZLE_16x16_01,16,256,BFS,9358
SUDOKU_PUZZLE_16x16_02,16,256,BFS,22107
SUDOKU_PUZZLE_16x16_03,16,256,BFS,14549
SUDOKU_PUZZLE_16x16_04,16,256,BFS,11701
SUDOKU_PUZZLE_16x16_05,25,625,BFS,10590
SUDOKU_PUZZLE_16x16_06,25,625,BFS,33413
SUDOKU_PUZZLE_9x9_101,9,81,DLX,4722
SUDOKU_PUZZLE_9x9_102,9,81,DLX,4699
SUDOKU_PUZZLE_9x9_103,9,81,DLX,4690
SUDOKU_PUZZLE_9x9_104,9,81,DLX,4701
SUDOKU_PUZZLE_9x9_105,9,81,DLX,4666
SUDOKU_PUZZLE_16x16_01,16,256,DLX,14514
SUDOKU_PUZZLE_16x16_02,16,256,DLX,14462
SUDOKU_PUZZLE_16x16_03,16,256,DLX,14539
SUDOKU_PUZZLE_16x16_04,16,256,DLX,14514
SUDOKU_PUZZLE_16x16_05,25,625,DLX,2307
SUDOKU_PUZZLE_16x16_06,25,625,DLX,35327
SUDOKU_PUZZLE_9x9_101,9,81,CP,2078
SUDOKU_PUZZLE_9x9_102,9,81,CP,2225
SUDOKU_PUZZLE_9x9_103,9,81,CP,3088
SUDOKU_PUZZLE_9x9_104,9,81,CP,2093
SUDOKU_PUZZLE_9x9_105,9,81,CP,2351
SUDOKU_PUZZLE_16x16_01,16,256,CP,11552
SUDOKU_PUZZLE_16x16_02,16,256,CP,23515
SUDOKU_PUZZLE_16x16_03,16,256,CP,8920
SUDOKU_PUZZLE_16x16_04,16,256,CP,9235
SUDOKU_PUZZLE_16x16_05,25,625,CP,77219
SUDOKU_PUZZLE_16x16_06,25,625,CP,34926
SUDOKU_PUZZLE_9x9_101,9,40,BFS,1496
SUDOKU_PUZZLE_9x9_102,9,40,BFS,1287
SUDOKU_PUZZLE_9x9_103,9,40,BFS,1667
SUDOKU_PUZZLE_9x9_104,9,40,BFS,1025
SUDOKU_PUZZLE_9x9_105,9,40,BFS,1078
SUDOKU_PUZZLE_16x16_01,16,128,BFS,5764
SUDOKU_PUZZLE_16x16_02,16,128,BFS,6047
SUDOKU_PUZZLE_16x16_03,16,128,BFS,5171
SUDOKU_PUZZLE_16x16_04,16,128,BFS,4402
SUDOKU_PUZZLE_16x16_05,25,312,BFS,8194
SUDOKU_PUZZLE_16x16_06,25,312,BFS,19040
SUDOKU_PUZZLE_9x9_101,9,40,DLX,4630
SUDOKU_PUZZLE_9x9_102,9,40,DLX,4582
SUDOKU_PUZZLE_9x9_103,9,40,DLX,4605
SUDOKU_PUZZLE_9x9_104,9,40,DLX,4610
SUDOKU_PUZZLE_9x9_105,9,40,DLX,4653
SUDOKU_PUZZLE_16x16_01,16,128,DLX,14695
SUDOKU_PUZZLE_16x16_02,16,128,DLX,14922
SUDOKU_PUZZLE_16x16_03,16,128,DLX,14497
SUDOKU_PUZZLE_16x16_04,16,128,DLX,14604
SUDOKU_PUZZLE_16x16_05,25,312,DLX,1457
SUDOKU_PUZZLE_16x16_06,25,312,DLX,35073
SUDOKU_PUZZLE_9x9_101,9,40,CP,1075
SUDOKU_PUZZLE_9x9_102,9,40,CP,1260
SUDOKU_PUZZLE_9x9_103,9,40,CP,1471
SUDOKU_PUZZLE_9x9_104,9,40,CP,997
SUDOKU_PUZZLE_9x9_105,9,40,CP,1091
SUDOKU_PUZZLE_16x16_01,16,128,CP,5883
SUDOKU_PUZZLE_16x16_02,16,128,CP,12178
SUDOKU_PUZZLE_16x16_03,16,128,CP,5083
SUDOKU_PUZZLE_16x16_04,16,128,CP,4305
SUDOKU_PUZZLE_16x16_05,25,312,CP,43627
SUDOKU_PUZZLE_16x16_06,25,312,CP,16348
SUDOKU_PUZZLE_9x9_101,9,20,BFS,729
SUDOKU_PUZZLE_9x9_102,9,20,BFS,837
SUDOKU_PUZZLE_9x9_103,9,20,BFS,1644
SUDOKU_PUZZLE_9x9_104,9,20,BFS,785
SUDOKU_PUZZLE_9x9_105,9,20,BFS,712
SUDOKU_PUZZLE_16x16_01,16,64,BFS,3815
SUDOKU_PUZZLE_16x16_02,16,64,BFS,3477
SUDOKU_PUZZLE_16x16_03,16,64,BFS,2967
SUDOKU_PUZZLE_16x16_04,16,64,BFS,2513
SUDOKU_PUZZLE_16x16_05,25,156,BFS,3754
SUDOKU_PUZZLE_16x16_06,25,156,BFS,12054
SUDOKU_PUZZLE_9x9_101,9,20,DLX,4614
SUDOKU_PUZZLE_9x9_102,9,20,DLX,4561
SUDOKU_PUZZLE_9x9_103,9,20,DLX,4663
SUDOKU_PUZZLE_9x9_104,9,20,DLX,4596
SUDOKU_PUZZLE_9x9_105,9,20,DLX,4612
SUDOKU_PUZZLE_16x16_01,16,64,DLX,14377
SUDOKU_PUZZLE_16x16_02,16,64,DLX,14478
SUDOKU_PUZZLE_16x16_03,16,64,DLX,14512
SUDOKU_PUZZLE_16x16_04,16,64,DLX,14479
SUDOKU_PUZZLE_16x16_05,25,156,DLX,983
SUDOKU_PUZZLE_16x16_06,25,156,DLX,35337
SUDOKU_PUZZLE_9x9_101,9,20,CP,691
SUDOKU_PUZZLE_9x9_102,9,20,CP,826
SUDOKU_PUZZLE_9x9_103,9,20,CP,1482
SUDOKU_PUZZLE_9x9_104,9,20,CP,781
SUDOKU_PUZZLE_9x9_105,9,20,CP,698
SUDOKU_PUZZLE_16x16_01,16,64,CP,3798
SUDOKU_PUZZLE_16x16_02,16,64,CP,3098
SUDOKU_PUZZLE_16x16_03,16,64,CP,2965
SUDOKU_PUZZLE_16x16_04,16,64,CP,2510
SUDOKU_PUZZLE_16x16_05,25,156,CP,14132
SUDOKU_PUZZLE_16x16_06,25,156,CP,9220
