algorithm,puzzle,methods,basic_blocks,instructions,instructions_per_basic_block,instructions_per_method,basic_blocks_per_method
BFS,SUDOKU_PUZZLE_9x9_101,767,119982468,279979992,2.3335075254494684,365032.5840938722,156430.85788787482
BFS,SUDOKU_PUZZLE_9x9_102,767,119982468,279979992,2.3335075254494684,365032.5840938722,156430.85788787482
BFS,SUDOKU_PUZZLE_9x9_103,981,173796110,405551768,2.3334916299334894,413406.4913353721,177162.19164118246
BFS,SUDOKU_PUZZLE_9x9_104,639,85577397,199697943,2.333536073783595,312516.3427230047,133923.93896713614
BFS,SUDOKU_PUZZLE_9x9_105,723,109396213,255277443,2.333512614371761,353080.83402489626,151308.73167358228
BFS,SUDOKU_PUZZLE_16x16_01,2447,465827081,1087036305,2.3335618501750437,444232.24560686556,190366.60441356763
BFS,SUDOKU_PUZZLE_16x16_02,4859,1105432729,2579559672,2.333529308774428,530882.8302119778,227502.10516567194
BFS,SUDOKU_PUZZLE_16x16_03,3431,726078072,1694329786,2.333536642048598,493829.7248615564,211622.8714660449
BFS,SUDOKU_PUZZLE_16x16_04,2896,586692577,1369079728,2.333555564995669,472748.5248618784,202587.21581491712
BFS,SUDOKU_PUZZLE_16x16_05,3392,529338210,1235227851,2.3335323762099094,364159.1541863208,156054.89681603774
BFS,SUDOKU_PUZZLE_16x16_06,7646,1657802357,3868696031,2.333629225863141,505976.46233324613,216819.5601621763
DLX,SUDOKU_PUZZLE_9x9_101,3404,234808752,552845688,2.3544509448267923,162410.6016451234,68980.24441833138
DLX,SUDOKU_PUZZLE_9x9_102,3404,234808752,552845688,2.3544509448267923,162410.6016451234,68980.24441833138
DLX,SUDOKU_PUZZLE_9x9_103,3428,234809209,552848750,2.3544594028252104,161274.43115519252,68497.43553092182
DLX,SUDOKU_PUZZLE_9x9_104,3392,234808526,552844166,2.3544467290766096,162984.71875,69224.2116745283
DLX,SUDOKU_PUZZLE_9x9_105,3420,234809063,552847751,2.3544566122645785,161651.38918128656,68657.62076023391
DLX,SUDOKU_PUZZLE_16x16_01,12404,743240462,1822662364,2.452318539137876,146941.4998387617,59919.41809093841
DLX,SUDOKU_PUZZLE_16x16_02,12428,743240858,1822665270,2.452321142441822,146657.97151593177,59803.73817186997
DLX,SUDOKU_PUZZLE_16x16_03,12404,743240308,1822661895,2.45231841623961,146941.46202837795,59919.40567558852
DLX,SUDOKU_PUZZLE_16x16_04,12388,743240017,1822659893,2.452316682781627,147131.08597029385,59996.772441072004
DLX,SUDOKU_PUZZLE_16x16_05,27385,267124231,1444812885,5.408767596976255,52759.28008033595,9754.399525287567
DLX,SUDOKU_PUZZLE_16x16_06,35520,1922773175,5315541638,2.7645183046617032,149649.25782657656,54132.12767454955
CP,SUDOKU_PUZZLE_9x9_101,590,104099926,242919162,2.3335190651336295,411727.39322033897,176440.55254237287
CP,SUDOKU_PUZZLE_9x9_102,590,104099926,242919162,2.3335190651336295,411727.39322033897,176440.55254237287
CP,SUDOKU_PUZZLE_9x9_103,708,149973548,349964476,2.3335080130264036,494300.1073446328,211827.0451977401
CP,SUDOKU_PUZZLE_9x9_104,590,101453612,236744764,2.3335272084743517,401262.3118644068,171955.2745762712
CP,SUDOKU_PUZZLE_9x9_105,630,117332599,273797172,2.3335132293455803,434598.6857142857,186242.22063492064
CP,SUDOKU_PUZZLE_16x16_01,2209,564613856,1317551342,2.33354411691944,596446.9633318244,255597.0375735627
CP,SUDOKU_PUZZLE_16x16_02,3803,1175976835,2744178254,2.333530876056755,721582.5017091769,309223.46437023405
CP,SUDOKU_PUZZLE_16x16_03,1918,443751946,1035517333,2.3335499536040345,539894.334202294,231361.8070907195
CP,SUDOKU_PUZZLE_16x16_04,1957,459630963,1072569749,2.3335454643859577,548068.3438937148,234865.08073582014
CP,SUDOKU_PUZZLE_16x16_05,10982,3837614941,8955249142,2.3335455171191444,815447.9276998725,349445.906119104
CP,SUDOKU_PUZZLE_16x16_06,6097,1745912613,4074220767,2.3335765700204605,668233.6832868624,286356.01328522223
