algorithm,puzzle,field_load,field_store,regular_load,regular_store
BFS,SUDOKU_PUZZLE_9x9_101,2726,20,40019093,39989031
BFS,SUDOKU_PUZZLE_9x9_102,2726,20,40019093,39989031
BFS,SUDOKU_PUZZLE_9x9_103,3360,20,57965376,57925165
BFS,SUDOKU_PUZZLE_9x9_104,2409,20,28545957,28521718
BFS,SUDOKU_PUZZLE_9x9_105,2601,20,36488656,36460632
BFS,SUDOKU_PUZZLE_16x16_01,15174,20,155398060,155250943
BFS,SUDOKU_PUZZLE_16x16_02,28611,20,368731913,368425893
BFS,SUDOKU_PUZZLE_16x16_03,19905,20,242198375,241991069
BFS,SUDOKU_PUZZLE_16x16_04,18365,20,195714631,195533689
BFS,SUDOKU_PUZZLE_16x16_05,14516,20,176570996,176421065
BFS,SUDOKU_PUZZLE_16x16_06,74021,20,553148184,552492089
DLX,SUDOKU_PUZZLE_9x9_101,319975,10517,81576751,78482815
DLX,SUDOKU_PUZZLE_9x9_102,319975,10517,81576751,78482815
DLX,SUDOKU_PUZZLE_9x9_103,320525,10799,81577868,78483045
DLX,SUDOKU_PUZZLE_9x9_104,319703,10376,81576195,78482701
DLX,SUDOKU_PUZZLE_9x9_105,320347,10705,81577502,78482972
DLX,SUDOKU_PUZZLE_16x16_01,4912689,34306,306451959,251872431
DLX,SUDOKU_PUZZLE_16x16_02,4913293,34588,306453015,251872573
DLX,SUDOKU_PUZZLE_16x16_03,4912675,34306,306451805,251872284
DLX,SUDOKU_PUZZLE_16x16_04,4912305,34118,306451074,251872146
DLX,SUDOKU_PUZZLE_16x16_05,39147990,59070,634507061,128644168
DLX,SUDOKU_PUZZLE_16x16_06,43129131,81411,1190010266,680762395
CP,SUDOKU_PUZZLE_9x9_101,3172,20,34718344,34696399
CP,SUDOKU_PUZZLE_9x9_102,3172,20,34718344,34696399
CP,SUDOKU_PUZZLE_9x9_103,4233,20,50016461,49986210
CP,SUDOKU_PUZZLE_9x9_104,3245,20,33836298,33814330
CP,SUDOKU_PUZZLE_9x9_105,3394,20,39131028,39106938
CP,SUDOKU_PUZZLE_16x16_01,22156,20,188317769,188182720
CP,SUDOKU_PUZZLE_16x16_02,42438,20,392215819,391948621
CP,SUDOKU_PUZZLE_16x16_03,17614,20,148007139,147900055
CP,SUDOKU_PUZZLE_16x16_04,17784,20,153301952,153192657
CP,SUDOKU_PUZZLE_16x16_05,163047,20,1280002979,1279048348
CP,SUDOKU_PUZZLE_16x16_06,84729,20,582367612,581895028
