name,size,un,algorithm,time
SUDOKU_PUZZLE_9x9_101,9,81,BFS,2431
SUDOKU_PUZZLE_9x9_102,9,81,BFS,2234
SUDOKU_PUZZLE_9x9_103,9,81,BFS,3499
SUDOKU_PUZZLE_9x9_104,9,81,BFS,1718
SUDOKU_PUZZLE_9x9_105,9,81,BFS,2216
SUDOKU_PUZZLE_16x16_01,16,256,BFS,9358
SUDOKU_PUZZLE_16x16_02,16,256,BFS,22107
SUDOKU_PUZZLE_16x16_03,16,256,BFS,14549
SUDOKU_PUZZLE_16x16_04,16,256,BFS,11701
SUDOKU_PUZZLE_16x16_05,25,625,BFS,10590
SUDOKU_PUZZLE_16x16_06,25,625,BFS,33413
SUDOKU_PUZZLE_9x9_101,9,81,DLX,4722
SUDOKU_PUZZLE_9x9_102,9,81,DLX,4699
SUDOKU_PUZZLE_9x9_103,9,81,DLX,4690
SUDOKU_PUZZLE_9x9_104,9,81,DLX,4701
SUDOKU_PUZZLE_9x9_105,9,81,DLX,4666
SUDOKU_PUZZLE_16x16_01,16,256,DLX,14514
SUDOKU_PUZZLE_16x16_02,16,256,DLX,14462
SUDOKU_PUZZLE_16x16_03,16,256,DLX,14539
SUDOKU_PUZZLE_16x16_04,16,256,DLX,14514
SUDOKU_PUZZLE_16x16_05,25,625,DLX,2307
SUDOKU_PUZZLE_16x16_06,25,625,DLX,35327
SUDOKU_PUZZLE_9x9_101,9,81,CP,2078
SUDOKU_PUZZLE_9x9_102,9,81,CP,2225
SUDOKU_PUZZLE_9x9_103,9,81,CP,3088
SUDOKU_PUZZLE_9x9_104,9,81,CP,2093
SUDOKU_PUZZLE_9x9_105,9,81,CP,2351
SUDOKU_PUZZLE_16x16_01,16,256,CP,11552
SUDOKU_PUZZLE_16x16_02,16,256,CP,23515
SUDOKU_PUZZLE_16x16_03,16,256,CP,8920
SUDOKU_PUZZLE_16x16_04,16,256,CP,9235
SUDOKU_PUZZLE_16x16_05,25,625,CP,77219
SUDOKU_PUZZLE_16x16_06,25,625,CP,34926
